song,performer,date,chart_position,previous_position,peak,weeks_on_chart,hitTF
Nonstop,Drake,2018-08-25,21,29,2,7,1
Good As Hell,Lizzo,2019-10-19,24,30,24,7,1
God's Country,Blake Shelton,2019-05-25,24,33,24,7,1
Mo Bamba,Sheck Wes,2018-10-20,24,38,24,7,1
Money,Cardi B,2018-12-15,28,24,13,7,1
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",2018-03-10,28,23,23,7,1
Eastside,"Benny Blanco, Halsey & Khalid",2018-09-08,28,31,28,7,1
On Chill,Wale Featuring Jeremih,2019-10-05,29,35,29,7,1
Friends,Marshmello & Anne-Marie,2018-04-07,30,28,28,7,1
Never Really Over,Katy Perry,2019-07-27,32,31,15,7,1
How Do You Sleep?,Sam Smith,2019-09-14,32,36,29,7,1
My Type,Saweetie,2019-08-24,33,35,33,7,1
I Love It,Kanye West & Lil Pump,2018-11-03,35,26,6,7,1
In My Blood,Shawn Mendes,2018-05-12,36,36,22,7,1
Marry Me,Thomas Rhett,2018-02-03,36,35,35,7,1
End Game,Taylor Swift Featuring Ed Sheeran & Future,2018-01-20,36,39,36,7,1
Hot,Young Thug Featuring Gunna,2019-10-12,37,35,26,7,1
Here With Me,Marshmello Featuring CHVRCHES,2019-05-04,37,41,37,7,1
Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert,2018-08-11,39,42,39,7,1
I'm A Mess,Bebe Rexha,2018-09-08,39,45,39,7,1
"Hey Look Ma, I Made It",Panic! At The Disco,2019-06-08,40,47,40,7,1
Heat,Chris Brown Featuring Gunna,2019-10-26,41,47,41,7,1
Envy Me,Calboy,2019-02-09,43,45,41,7,1
New Freezer,Rich The Kid Featuring Kendrick Lamar,2018-03-24,43,44,42,7,1
Look Back At It,A Boogie Wit da Hoodie,2019-02-02,44,40,40,7,1
Lover,Taylor Swift,2019-10-12,45,44,10,7,1
Japan,Famous Dex,2018-05-19,48,55,28,7,1
Good Vibes,Chris Janson,2019-10-26,48,56,48,7,1
Lemon,N*E*R*D & Rihanna,2018-01-06,49,46,49,7,1
Go Loko,"YG, Tyga & Jon Z",2019-06-29,49,50,49,7,1
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,2019-01-26,50,43,43,7,1
Graveyard,Halsey,2019-11-09,50,44,43,7,1
Mixed Personalities,YNW Melly Featuring Kanye West,2019-03-16,50,56,50,7,1
I Was Jack (You Were Diane),Jake Owen,2018-07-21,50,69,50,7,1
Drew Barrymore,Bryce Vine,2018-10-06,51,49,46,7,1
Most People Are Good,Luke Bryan,2018-03-24,51,57,51,7,1
Earfquake,"Tyler, The Creator",2019-07-13,52,46,13,7,1
Liar,Camila Cabello,2019-11-02,52,53,52,7,1
No Excuses,Meghan Trainor,2018-04-28,53,53,46,7,1
Look What God Gave Her,Thomas Rhett,2019-04-27,53,48,48,7,1
Good As You,Kane Brown,2019-04-20,53,68,53,7,1
Kiss Somebody,Morgan Evans,2018-08-25,53,77,53,7,1
Nightmare,Halsey,2019-07-13,54,50,15,7,1
Dura,Daddy Yankee,2018-03-31,54,53,50,7,1
Leave Me Alone,Flipp Dinero,2018-11-10,55,53,53,7,1
Hotel Key,Old Dominion,2018-08-25,55,64,55,7,1
Love Lies,Khalid & Normani,2018-04-14,56,49,43,7,1
Life Changes,Thomas Rhett,2018-08-18,56,46,46,7,1
Hot Girl Bummer,blackbear,2019-11-09,57,56,56,7,1
Love Someone,Brett Eldredge,2019-06-15,57,72,57,7,1
Just Us,DJ Khaled Featuring SZA,2019-07-13,58,60,43,7,1
Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone,2018-09-01,58,63,58,7,1
Living,Dierks Bentley,2019-09-21,59,57,57,7,1
I Don't Know About You,Chris Lane,2019-08-31,59,62,59,7,1
Get Along,Kenny Chesney,2018-06-02,59,64,59,7,1
KOD,J. Cole,2018-06-16,60,59,10,7,1
Esskeetit,Lil Pump,2018-06-09,60,56,24,7,1
Echame La Culpa,Luis Fonsi & Demi Lovato,2018-01-20,60,64,47,7,1
Hooked,Dylan Scott,2018-09-08,60,60,60,7,1
Mercy,Brett Young,2018-06-30,60,63,60,7,1
Eyes On You,Chase Rice,2019-04-13,61,54,54,7,1
Knockin' Boots,Luke Bryan,2019-06-22,61,64,61,7,1
Love Ain't,Eli Young Band,2019-06-08,62,66,50,7,1
Everyday,Logic & Marshmello,2018-04-28,63,76,29,7,1
KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",2018-03-10,63,82,43,7,1
Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",2019-11-30,63,60,60,7,1
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,2019-05-04,64,62,62,7,1
Five More Minutes,Scotty McCreery,2018-02-03,64,83,64,7,1
Enemies,Post Malone Featuring DaBaby,2019-11-02,65,63,16,7,1
IDGAF,Dua Lipa,2018-04-14,57,54,54,12,1
Life Changes,Thomas Rhett,2018-09-22,58,51,36,12,1
Just Us,DJ Khaled Featuring SZA,2019-08-17,59,56,43,12,1
Good Girl,Dustin Lynch,2019-02-09,59,58,44,12,1
Miss Me More,Kelsea Ballerini,2019-05-04,59,63,59,12,1
Ella Quiere Beber,Anuel AA & Romeo Santos,2019-02-02,61,66,61,12,1
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,2019-03-02,63,60,43,12,1
Lalala,Y2K & bbno$,2019-09-28,63,65,55,12,1
I Lived It,Blake Shelton,2018-06-02,64,70,64,12,1
Never Really Over,Katy Perry,2019-08-31,65,50,15,12,1
End Game,Taylor Swift Featuring Ed Sheeran & Future,2018-02-24,65,45,18,12,1
Drew Barrymore,Bryce Vine,2018-11-10,66,64,46,12,1
Hangin' On,Chris Young,2018-12-01,67,67,63,12,1
Living,Dierks Bentley,2019-10-26,69,60,51,12,1
Enemies,Post Malone Featuring DaBaby,2019-12-07,71,68,16,12,1
El Farsante,Ozuna & Romeo Santos,2018-04-28,71,73,49,12,1
Fine China,Future & Juice WRLD,2019-01-19,72,74,26,12,1
Japan,Famous Dex,2018-06-23,72,68,28,12,1
Girls Need Love,Summer Walker X Drake,2019-05-25,72,75,37,12,1
Heartache Medication,Jon Pardi,2019-12-28,72,71,67,12,1
I'm Upset,Drake,2018-08-25,74,65,7,12,1
Dura,Daddy Yankee,2018-05-05,75,72,50,12,1
Make It Sweet,Old Dominion,2019-03-30,76,79,76,12,1
Earfquake,"Tyler, The Creator",2019-08-17,77,68,13,12,1
F.N,Lil Tjay,2019-11-09,77,63,56,12,1
No Me Conoce,"Jhay Cortez, J Balvin & Bad Bunny",2019-10-05,78,73,71,12,1
Echame La Culpa,Luis Fonsi & Demi Lovato,2018-02-24,79,68,47,12,1
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,2018-07-21,80,73,66,12,1
Down To The Honkytonk,Jake Owen,2019-03-30,81,76,69,12,1
I Like Me Better,Lauv,2018-05-12,81,77,73,12,1
It's You,Ali Gatie,2019-09-14,83,78,70,12,1
KOD,J. Cole,2018-07-21,84,77,10,12,1
Good Vibes,Chris Janson,2019-11-30,84,61,48,12,1
Nowadays,Lil Skies Featuring Landon Cube,2018-04-07,84,81,55,12,1
No Stylist,French Montana Featuring Drake,2018-12-22,85,95,47,12,1
Esskeetit,Lil Pump,2018-07-14,88,71,24,12,1
Lucky You,Eminem Featuring Joyner Lucas,2018-12-01,89,92,6,12,1
Everyday,Logic & Marshmello,2018-06-02,91,81,29,12,1
Love Ain't,Eli Young Band,2019-07-13,91,90,50,12,1
No Excuses,Meghan Trainor,2018-06-02,93,67,46,12,1
I Love It,Kanye West & Lil Pump,2018-12-08,97,75,6,12,1
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019-06-08,1,1,1,13,1
Nice For What,Drake,2018-07-14,1,6,1,13,1
God's Plan,Drake,2018-04-28,2,2,1,13,1
Girls Like You,Maroon 5 Featuring Cardi B,2018-09-01,2,2,2,13,1
I Like It,"Cardi B, Bad Bunny & J Balvin",2018-07-14,3,1,1,13,1
Finesse,Bruno Mars & Cardi B,2018-04-07,3,4,3,13,1
Happier,Marshmello & Bastille,2018-11-24,3,4,3,13,1
Good As Hell,Lizzo,2019-11-30,3,4,3,13,1
In My Feelings,Drake,2018-10-06,4,2,1,13,1
No Guidance,Chris Brown Featuring Drake,2019-09-14,6,7,6,13,1
I Don't Care,Ed Sheeran & Justin Bieber,2019-08-17,7,7,2,13,1
Lucid Dreams,Juice WRLD,2018-08-18,7,7,3,13,1
Memories,Maroon 5,2019-12-28,7,7,4,13,1
Look Alive,BlocBoy JB Featuring Drake,2018-05-19,7,9,5,13,1
Mo Bamba,Sheck Wes,2018-12-01,7,7,7,13,1
No Tears Left To Cry,Ariana Grande,2018-07-28,8,8,3,13,1
Drip Too Hard,Lil Baby & Gunna,2018-12-22,8,9,4,13,1
MotorSport,"Migos, Nicki Minaj & Cardi B",2018-02-10,8,11,6,13,1
Goodbyes,Post Malone Featuring Young Thug,2019-10-12,9,9,3,13,1
Middle Child,J. Cole,2019-04-27,11,9,4,13,1
If I Can't Have You,Shawn Mendes,2019-08-10,12,10,2,13,1
Meant To Be,Bebe Rexha & Florida Georgia Line,2018-02-03,12,17,12,13,1
Natural,Imagine Dragons,2018-10-27,13,13,13,13,1
Money,Cardi B,2019-01-26,13,17,13,13,1
Mine,Bazzi,2018-04-28,14,14,11,13,1
Let You Down,NF,2018-01-27,14,15,14,13,1
Him & I,G-Eazy & Halsey,2018-03-17,15,15,14,13,1
Nonstop,Drake,2018-10-06,16,15,2,13,1
Going Bad,Meek Mill Featuring Drake,2019-03-09,16,15,6,13,1
Hot,Young Thug Featuring Gunna,2019-11-23,16,11,11,13,1
In My Blood,Shawn Mendes,2018-06-23,16,20,11,13,1
I Fall Apart,Post Malone,2018-01-06,16,16,16,13,1
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018-10-27,18,10,3,13,1
"Hey Look Ma, I Made It",Panic! At The Disco,2019-07-20,18,18,18,13,1
God's Country,Blake Shelton,2019-07-06,18,21,18,13,1
MIA,Bad Bunny Featuring Drake,2019-01-19,20,20,5,13,1
Eastside,"Benny Blanco, Halsey & Khalid",2018-10-20,20,29,20,13,1
Money In The Grave,Drake Featuring Rick Ross,2019-09-21,21,15,7,13,1
Friends,Marshmello & Anne-Marie,2018-05-19,21,25,21,13,1
God Is A Woman,Ariana Grande,2018-10-20,22,21,8,13,1
On Chill,Wale Featuring Jeremih,2019-11-16,22,29,22,13,1
How Long,Charlie Puth,2018-01-20,23,27,23,13,1
My Type,Saweetie,2019-10-05,24,28,21,13,1
Lover,Taylor Swift,2019-11-23,26,43,10,13,1
Gummo,6ix9ine,2018-02-24,28,24,12,13,1
How Do You Sleep?,Sam Smith,2019-10-26,28,26,24,13,1
Leave Me Alone,Flipp Dinero,2018-12-22,28,32,27,13,1
Murder On My Mind,YNW Melly,2019-04-27,29,28,14,13,1
ME!,Taylor Swift Featuring Brendon Urie,2019-06-08,11,9,2,6,1
Look Alive,BlocBoy JB Featuring Drake,2018-03-31,11,9,5,6,1
Memories,Maroon 5,2019-11-09,11,11,11,6,1
HIGHEST IN THE ROOM,Travis Scott,2019-11-23,12,14,1,6,1
If I Can't Have You,Shawn Mendes,2019-06-22,12,14,2,6,1
Freaky Friday,Lil Dicky Featuring Chris Brown,2018-05-05,12,8,8,6,1
Money In The Grave,Drake Featuring Rick Ross,2019-08-03,13,12,7,6,1
No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",2018-09-15,15,12,5,6,1
Gummo,6ix9ine,2018-01-06,15,14,12,6,1
Murder On My Mind,YNW Melly,2019-03-09,15,14,14,6,1
Him & I,G-Eazy & Halsey,2018-01-27,15,16,15,6,1
Happier,Marshmello & Bastille,2018-10-06,15,31,15,6,1
MIA,Bad Bunny Featuring Drake,2018-12-01,18,19,5,6,1
Going Bad,Meek Mill Featuring Drake,2019-01-19,18,21,6,6,1
Mine,Bazzi,2018-03-10,20,18,18,6,1
I Like It,"Cardi B, Bad Bunny & J Balvin",2018-05-26,21,18,8,6,1
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",2019-09-28,22,28,11,6,1
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",2018-03-03,23,38,23,6,1
Money,Cardi B,2018-12-08,24,21,13,6,1
Natural,Imagine Dragons,2018-09-08,24,29,24,6,1
I Love It,Kanye West & Lil Pump,2018-10-27,26,17,6,6,1
Friends,Marshmello & Anne-Marie,2018-03-31,28,41,28,6,1
Nonstop,Drake,2018-08-18,29,29,2,6,1
Good As Hell,Lizzo,2019-10-12,30,43,30,6,1
Never Really Over,Katy Perry,2019-07-20,31,28,15,6,1
Eastside,"Benny Blanco, Halsey & Khalid",2018-09-01,31,48,31,6,1
God's Country,Blake Shelton,2019-05-18,33,34,33,6,1
everything i wanted,Billie Eilish,2019-12-28,34,30,8,6,1
Hot,Young Thug Featuring Gunna,2019-10-05,35,39,26,6,1
My Type,Saweetie,2019-08-17,35,38,35,6,1
Marry Me,Thomas Rhett,2018-01-27,35,39,35,6,1
On Chill,Wale Featuring Jeremih,2019-09-28,35,48,35,6,1
In My Blood,Shawn Mendes,2018-05-05,36,38,22,6,1
How Do You Sleep?,Sam Smith,2019-09-07,36,36,29,6,1
Mo Bamba,Sheck Wes,2018-10-13,38,31,31,6,1
End Game,Taylor Swift Featuring Ed Sheeran & Future,2018-01-13,39,40,39,6,1
Look Back At It,A Boogie Wit da Hoodie,2019-01-26,40,49,40,6,1
Here With Me,Marshmello Featuring CHVRCHES,2019-04-27,41,46,41,6,1
Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert,2018-08-04,42,48,42,6,1
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,2019-01-19,43,49,43,6,1
Lover,Taylor Swift,2019-10-05,44,49,10,6,1
New Freezer,Rich The Kid Featuring Kendrick Lamar,2018-03-17,44,42,42,6,1
Graveyard,Halsey,2019-11-02,44,43,43,6,1
Envy Me,Calboy,2019-02-02,45,41,41,6,1
I'm A Mess,Bebe Rexha,2018-09-01,45,51,45,6,1
Earfquake,"Tyler, The Creator",2019-07-06,46,36,13,6,1
Life Changes,Thomas Rhett,2018-08-11,46,49,46,6,1
"Hey Look Ma, I Made It",Panic! At The Disco,2019-06-01,47,41,41,6,1
Heat,Chris Brown Featuring Gunna,2019-10-19,47,57,47,6,1
Look What God Gave Her,Thomas Rhett,2019-04-20,48,74,48,6,1
Love Lies,Khalid & Normani,2018-04-07,49,53,43,6,1
Drew Barrymore,Bryce Vine,2018-09-29,49,47,46,6,1
Nightmare,Halsey,2019-07-06,50,44,15,6,1
Go Loko,"YG, Tyga & Jon Z",2019-06-22,50,50,50,6,1
No Excuses,Meghan Trainor,2018-04-21,53,55,46,6,1
Dura,Daddy Yankee,2018-03-24,53,54,50,6,1
Liar,Camila Cabello,2019-10-26,53,58,53,6,1
Leave Me Alone,Flipp Dinero,2018-11-03,53,76,53,6,1
Eyes On You,Chase Rice,2019-04-06,54,61,54,6,1
Japan,Famous Dex,2018-05-12,55,35,28,6,1
Done For Me,Charlie Puth Featuring Kehlani,2018-06-23,55,61,53,6,1
Esskeetit,Lil Pump,2018-06-02,56,58,24,6,1
Mixed Personalities,YNW Melly Featuring Kanye West,2019-03-09,56,60,56,6,1
Hot Girl Bummer,blackbear,2019-11-02,56,61,56,6,1
Good Vibes,Chris Janson,2019-10-19,56,66,56,6,1
Most People Are Good,Luke Bryan,2018-03-17,57,57,57,6,1
Living,Dierks Bentley,2019-09-14,57,73,57,6,1
KOD,J. Cole,2018-06-09,59,49,10,6,1
Just Us,DJ Khaled Featuring SZA,2019-07-06,60,53,43,6,1
Memories,Maroon 5,2019-12-14,5,4,4,11,1
I Don't Care,Ed Sheeran & Justin Bieber,2019-08-03,6,3,2,11,1
Good As Hell,Lizzo,2019-11-16,6,6,6,11,1
No Guidance,Chris Brown Featuring Drake,2019-08-31,7,6,6,11,1
Goodbyes,Post Malone Featuring Young Thug,2019-09-28,8,3,3,11,1
Lucid Dreams,Juice WRLD,2018-08-04,8,6,3,11,1
Drip Too Hard,Lil Baby & Gunna,2018-12-08,8,9,4,11,1
Look Alive,BlocBoy JB Featuring Drake,2018-05-05,9,6,5,11,1
Mo Bamba,Sheck Wes,2018-11-17,9,10,9,11,1
Middle Child,J. Cole,2019-04-13,10,7,4,11,1
MotorSport,"Migos, Nicki Minaj & Cardi B",2018-01-27,10,10,6,11,1
In My Blood,Shawn Mendes,2018-06-09,11,20,11,11,1
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018-10-13,12,8,3,11,1
Mine,Bazzi,2018-04-14,12,11,11,11,1
If I Can't Have You,Shawn Mendes,2019-07-27,13,14,2,11,1
Going Bad,Meek Mill Featuring Drake,2019-02-23,13,15,6,11,1
Money In The Grave,Drake Featuring Rick Ross,2019-09-07,14,13,7,11,1
Him & I,G-Eazy & Halsey,2018-03-03,14,14,14,11,1
No Tears Left To Cry,Ariana Grande,2018-07-14,15,8,3,11,1
Nonstop,Drake,2018-09-22,17,18,2,11,1
Money,Cardi B,2019-01-12,17,19,13,11,1
Let You Down,NF,2018-01-13,18,17,16,11,1
Meant To Be,Bebe Rexha & Florida Georgia Line,2018-01-20,18,24,18,11,1
Natural,Imagine Dragons,2018-10-13,19,14,14,11,1
God's Country,Blake Shelton,2019-06-22,19,19,19,11,1
God Is A Woman,Ariana Grande,2018-10-06,20,17,8,11,1
Murder On My Mind,YNW Melly,2019-04-13,21,19,14,11,1
Gummo,6ix9ine,2018-02-10,24,18,12,11,1
Friends,Marshmello & Anne-Marie,2018-05-05,24,21,21,11,1
On Chill,Wale Featuring Jeremih,2019-11-02,24,22,22,11,1
"Hey Look Ma, I Made It",Panic! At The Disco,2019-07-06,24,24,24,11,1
How Do You Sleep?,Sam Smith,2019-10-12,24,26,24,11,1
Freaky Friday,Lil Dicky Featuring Chris Brown,2018-06-09,26,22,8,11,1
HIGHEST IN THE ROOM,Travis Scott,2019-12-28,27,25,1,11,1
How Long,Charlie Puth,2018-01-06,27,31,26,11,1
Leave Me Alone,Flipp Dinero,2018-12-08,27,28,27,11,1
Eastside,"Benny Blanco, Halsey & Khalid",2018-10-06,27,29,27,11,1
My Type,Saweetie,2019-09-21,30,22,21,11,1
MIA,Bad Bunny Featuring Drake,2019-01-05,31,26,5,11,1
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",2018-04-07,31,27,21,11,1
No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",2018-10-20,32,30,5,11,1
Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert,2018-09-08,34,32,32,11,1
Graveyard,Halsey,2019-12-07,34,39,34,11,1
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",2019-11-02,35,31,11,11,1
Hot,Young Thug Featuring Gunna,2019-11-09,35,31,26,11,1
Marry Me,Thomas Rhett,2018-03-03,36,36,35,11,1
I'm A Mess,Bebe Rexha,2018-10-06,36,36,36,11,1
Heat,Chris Brown Featuring Gunna,2019-11-23,36,39,36,11,1
Mercy,Brett Young,2018-07-28,38,41,38,11,1
Eyes On You,Chase Rice,2019-05-11,38,44,38,11,1
ME!,Taylor Swift Featuring Brendon Urie,2019-07-13,39,31,2,11,1
Look Back At It,A Boogie Wit da Hoodie,2019-03-02,39,47,32,11,1
Lemon,N*E*R*D & Rihanna,2018-02-03,40,40,40,11,1
Envy Me,Calboy,2019-03-09,42,42,41,11,1
Good As You,Kane Brown,2019-05-18,42,46,42,11,1
Five More Minutes,Scotty McCreery,2018-03-03,44,51,44,11,1
End Game,Taylor Swift Featuring Ed Sheeran & Future,2018-02-17,45,43,18,11,1
Hot Girl Bummer,blackbear,2019-12-07,45,41,41,11,1
I Don't Know About You,Chris Lane,2019-09-28,47,54,47,11,1
Lover,Taylor Swift,2019-11-09,48,38,10,11,1
Here With Me,Marshmello Featuring CHVRCHES,2019-06-01,48,37,31,11,1
Knockin' Boots,Luke Bryan,2019-07-20,48,50,48,11,1
Look What God Gave Her,Thomas Rhett,2019-05-25,48,55,48,11,1
New Freezer,Rich The Kid Featuring Kendrick Lamar,2018-04-21,49,41,41,11,1
Hotel Key,Old Dominion,2018-09-22,49,53,49,11,1
Never Really Over,Katy Perry,2019-08-24,50,38,15,11,1
Get Along,Kenny Chesney,2018-06-30,50,48,48,11,1
Life Changes,Thomas Rhett,2018-09-15,51,36,36,11,1
Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone,2018-09-29,52,52,52,11,1
Mixed Personalities,YNW Melly Featuring Kanye West,2019-04-13,54,42,42,11,1
Go Loko,"YG, Tyga & Jon Z",2019-07-27,54,53,49,11,1
Lights Down Low,MAX Featuring gnash,2018-01-06,54,57,54,11,1
IDGAF,Dua Lipa,2018-04-07,54,58,54,11,1
Easier,5 Seconds Of Summer,2019-08-17,55,57,48,11,1
Just Us,DJ Khaled Featuring SZA,2019-08-10,56,57,43,11,1
Good Girl,Dustin Lynch,2019-02-02,58,53,44,11,1
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,2019-02-23,60,53,43,11,1
Most People Are Good,Luke Bryan,2018-04-21,60,49,46,11,1
Living,Dierks Bentley,2019-10-19,60,59,51,11,1
Love You Too Late,Cole Swindell,2019-10-26,60,63,60,11,1
Good Vibes,Chris Janson,2019-11-23,61,57,48,11,1
Love Lies,Khalid & Normani,2018-05-12,63,59,43,11,1
F.N,Lil Tjay,2019-11-02,63,56,56,11,1
Miss Me More,Kelsea Ballerini,2019-04-27,63,66,60,11,1
Drew Barrymore,Bryce Vine,2018-11-03,64,64,46,11,1
I'm Upset,Drake,2018-08-18,65,45,7,11,1
Lalala,Y2K & bbno$,2019-09-21,65,55,55,11,1
Ella Quiere Beber,Anuel AA & Romeo Santos,2019-01-26,66,64,64,11,1
No Excuses,Meghan Trainor,2018-05-26,67,59,46,11,1
Hangin' On,Chris Young,2018-11-24,67,65,63,11,1
Earfquake,"Tyler, The Creator",2019-08-10,68,70,13,11,1
Enemies,Post Malone Featuring DaBaby,2019-11-30,68,66,16,11,1
Japan,Famous Dex,2018-06-16,68,58,28,11,1
Echame La Culpa,Luis Fonsi & Demi Lovato,2018-02-17,68,72,47,11,1
I Lived It,Blake Shelton,2018-05-26,70,85,66,11,1
Esskeetit,Lil Pump,2018-07-07,71,76,24,11,1
Heartache Medication,Jon Pardi,2019-12-21,71,71,67,11,1
Dura,Daddy Yankee,2018-04-28,72,70,50,11,1
Liar,Camila Cabello,2019-11-30,72,55,52,11,1
El Farsante,Ozuna & Romeo Santos,2018-04-21,73,63,49,11,1
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,2018-07-14,73,66,66,11,1
No Me Conoce,"Jhay Cortez, J Balvin & Bad Bunny",2019-09-28,73,79,71,11,1
Fine China,Future & Juice WRLD,2019-01-12,74,97,26,11,1
I Love It,Kanye West & Lil Pump,2018-12-01,75,71,6,11,1
Girls Need Love,Summer Walker X Drake,2019-05-18,75,74,37,11,1
Down To The Honkytonk,Jake Owen,2019-03-23,76,69,69,11,1
KOD,J. Cole,2018-07-14,77,68,10,11,1
Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",2019-12-28,77,69,60,11,1
I Like Me Better,Lauv,2018-05-05,77,79,73,11,1
It's You,Ali Gatie,2019-09-07,78,76,70,11,1
Hooked,Dylan Scott,2018-10-06,79,58,48,11,1
Make It Sweet,Old Dominion,2019-03-23,79,76,76,11,1
Everyday,Logic & Marshmello,2018-05-26,81,75,29,11,1
Nowadays,Lil Skies Featuring Landon Cube,2018-03-31,81,62,55,11,1
La Modelo,Ozuna x Cardi B,2018-03-17,83,80,52,11,1
Love Ain't,Eli Young Band,2019-07-06,90,85,50,11,1
I Was Jack (You Were Diane),Jake Owen,2018-08-18,91,62,43,11,1
Lucky You,Eminem Featuring Joyner Lucas,2018-11-24,92,93,6,11,1
No Stylist,French Montana Featuring Drake,2018-12-15,95,73,47,11,1
Falling Down,Lil Peep & XXXTENTACION,2018-12-08,98,84,13,11,1
La La Land,Bryce Vine Featuring YG,2019-08-24,98,91,75,11,1
Nightmare,Halsey,2019-08-10,100,81,15,11,1
Hardaway,Derez De'Shon,2018-04-28,100,84,61,11,1
Faucet Failure,Ski Mask The Slump God,2019-05-18,100,93,87,11,1
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019-06-01,1,1,1,12,1
I Like It,"Cardi B, Bad Bunny & J Balvin",2018-07-07,1,2,1,12,1
God's Plan,Drake,2018-04-21,2,1,1,12,1
In My Feelings,Drake,2018-09-29,2,1,1,12,1
Girls Like You,Maroon 5 Featuring Cardi B,2018-08-25,2,2,2,12,1
Finesse,Bruno Mars & Cardi B,2018-03-31,4,3,3,12,1
Happier,Marshmello & Bastille,2018-11-17,4,3,3,12,1
Kooda,6ix9ine,2018-02-03,86,73,50,7,1
Mona Lisa,Lil Wayne Featuring Kendrick Lamar,2018-11-24,87,82,2,7,1
Love Wins,Carrie Underwood,2019-02-23,87,84,83,7,1
Killshot,Eminem,2018-11-10,88,79,3,7,1
Fine China,Future & Juice WRLD,2018-12-15,88,64,26,7,1
Good Girl,Dustin Lynch,2019-01-05,89,72,72,7,1
Ice Tray,Quavo & Lil Yachty,2018-02-03,90,86,62,7,1
Make No Sense,YoungBoy Never Broke Again,2019-12-07,91,78,57,7,1
Faucet Failure,Ski Mask The Slump God,2019-04-20,91,97,87,7,1
Narcos,Migos,2018-03-24,92,74,36,7,1
New Patek,Lil Uzi Vert,2018-11-10,93,90,24,7,1
Lean Wit Me,Juice WRLD,2018-09-29,93,85,68,7,1
Drunk Girl,Chris Janson,2018-10-20,96,97,82,7,1
Lonely Child,YoungBoy Never Broke Again,2019-12-07,97,81,44,7,1
Easy,DaniLeigh Featuring Chris Brown,2019-12-28,97,89,88,7,1
Mob Ties,Drake,2018-08-25,99,94,13,7,1
God's Plan,Drake,2018-03-24,1,1,1,8,1
Nice For What,Drake,2018-06-09,1,1,1,8,1
In My Feelings,Drake,2018-09-01,1,1,1,8,1
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019-05-04,1,1,1,8,1
Finesse,Bruno Mars & Cardi B,2018-03-03,3,3,3,8,1
Girls Like You,Maroon 5 Featuring Cardi B,2018-07-28,3,3,3,8,1
I Don't Care,Ed Sheeran & Justin Bieber,2019-07-13,4,5,2,8,1
Look Alive,BlocBoy JB Featuring Drake,2018-04-14,5,6,5,8,1
Memories,Maroon 5,2019-11-23,5,9,5,8,1
No Guidance,Chris Brown Featuring Drake,2019-08-10,6,11,6,8,1
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018-09-22,7,4,3,8,1
MotorSport,"Migos, Nicki Minaj & Cardi B",2018-01-06,7,7,6,8,1
I Like It,"Cardi B, Bad Bunny & J Balvin",2018-06-09,7,19,7,8,1
Middle Child,J. Cole,2019-03-23,8,9,4,8,1
Happier,Marshmello & Bastille,2018-10-20,8,13,8,8,1
No Tears Left To Cry,Ariana Grande,2018-06-23,9,13,3,8,1
Drip Too Hard,Lil Baby & Gunna,2018-11-17,10,8,4,8,1
Freaky Friday,Lil Dicky Featuring Chris Brown,2018-05-19,11,13,8,8,1
Goodbyes,Post Malone Featuring Young Thug,2019-09-07,12,9,3,8,1
Lose You To Love Me,Selena Gomez,2019-12-21,13,9,1,8,1
Money In The Grave,Drake Featuring Rick Ross,2019-08-17,13,13,7,8,1
ME!,Taylor Swift Featuring Brendon Urie,2019-06-22,14,11,2,8,1
If I Can't Have You,Shawn Mendes,2019-07-06,14,13,2,8,1
