song,performer,date,chart_position,hitTF
Dance Monkey,Tones And I,2019-12-07,11,1
Pray For Me,The Weeknd & Kendrick Lamar,2018-04-07,12,1
Into The Unknown,Idina Menzel & AURORA,2019-12-07,55,1
Mine,Bazzi,2018-02-03,56,1
Indica Badu,Logic Featuring Wiz Khalifa,2018-03-24,56,1
Final Fantasy,Drake,2018-07-14,56,1
Eastside,"Benny Blanco, Halsey & Khalid",2018-07-28,56,1
"If I'm Lyin, I'm Flyin",Kodak Black,2018-10-13,56,1
Hear Me Calling,Juice WRLD,2019-03-16,56,1
Liar,Camila Cabello,2019-09-21,56,1
Heart On Ice,Rod Wave,2019-11-23,56,1
March 14,Drake,2018-07-14,57,1
Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",2019-06-01,57,1
Make No Sense,YoungBoy Never Broke Again,2019-10-26,57,1
Money Bag,Cardi B,2018-04-21,58,1
Majesty,Nicki Minaj Featuring Eminem & Labrinth,2018-08-25,58,1
MAMA,6ix9ine Featuring Nicki Minaj & Kanye West,2018-12-08,58,1
MoshPit,Kodak Black Featuring Juice WRLD,2018-12-29,58,1
Hot Shower,Chance The Rapper Featuring MadeinTYO & DaBaby,2019-08-10,58,1
Internet,Post Malone,2019-09-21,58,1
Nonstop,Drake,2018-07-14,2,1
Mona Lisa,Lil Wayne Featuring Kendrick Lamar,2018-10-13,2,1
If I Can't Have You,Shawn Mendes,2019-05-18,2,1
I Don't Care,Ed Sheeran & Justin Bieber,2019-05-25,2,1
No Tears Left To Cry,Ariana Grande,2018-05-05,3,1
Killshot,Eminem,2018-09-29,3,1
Goodbyes,Post Malone Featuring Young Thug,2019-07-20,3,1
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018-08-04,4,1
No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",2018-08-11,5,1
MIA,Bad Bunny Featuring Drake,2018-10-27,5,1
Homicide,Logic Featuring Eminem,2019-05-18,5,1
Futsal Shuffle 2020,Lil Uzi Vert,2019-12-28,5,1
Look Alive,BlocBoy JB Featuring Drake,2018-02-24,6,1
In My Feelings,Drake,2018-07-14,6,1
Lucky You,Eminem Featuring Joyner Lucas,2018-09-15,6,1
I Love It,Kanye West & Lil Pump,2018-09-22,6,1
Going Bad,Meek Mill Featuring Drake,2018-12-15,6,1
Money In The Grave,Drake Featuring Rick Ross,2019-06-29,7,1
Follow God,Kanye West,2019-11-09,7,1
I Like It,"Cardi B, Bad Bunny & J Balvin",2018-04-21,8,1
Kevin's Heart,J. Cole,2018-05-05,8,1
Emotionless,Drake,2018-07-14,8,1
Filthy,Justin Timberlake,2018-01-20,9,1
Freaky Friday,Lil Dicky Featuring Chris Brown,2018-03-31,9,1
No Guidance,Chris Brown Featuring Drake,2019-06-22,9,1
KOD,J. Cole,2018-05-05,10,1
Fake Love,BTS,2018-06-02,10,1
Let It Fly,Lil Wayne Featuring Travis Scott,2018-10-13,10,1
God Is A Woman,Ariana Grande,2018-07-28,11,1
IDOL,BTS Featuring Nicki Minaj,2018-09-08,11,1
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",2019-08-24,11,1
Fall,Eminem,2018-09-15,12,1
Mob Ties,Drake,2018-07-14,13,1
Earfquake,"Tyler, The Creator",2019-06-01,13,1
Elevate,Drake,2018-07-14,14,1
Needy,Ariana Grande,2019-02-23,14,1
Motiv8,J. Cole,2018-05-05,15,1
Never Recover,Lil Baby & Gunna Featuring Drake,2018-10-20,15,1
Nightmare,Halsey,2019-06-01,15,1
Never Really Over,Katy Perry,2019-06-15,15,1
Hollywood's Bleeding,Post Malone,2019-09-21,15,1
Lose You To Love Me,Selena Gomez,2019-11-02,15,1
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2018-12-01,22,1
Shallow,Lady Gaga & Bradley Cooper,2018-12-01,23,1
Better Now,Post Malone,2018-06-30,23,1
Bartier Cardi,Cardi B Featuring 21 Savage,2018-02-24,23,1
"Thank U, Next",Ariana Grande,2018-11-17,1,1
7 Rings,Ariana Grande,2019-02-02,1,1
Sucker,Jonas Brothers,2019-03-16,1,1
Psycho,Post Malone Featuring Ty Dolla $ign,2018-03-10,2,1
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019-02-23,2,1
Senorita,Shawn Mendes & Camila Cabello,2019-07-06,2,1
Call Out My Name,The Weeknd,2018-04-14,4,1
Sicko Mode,Travis Scott,2018-08-18,4,1
"10,000 Hours",Dan + Shay & Justin Bieber,2019-10-19,4,1
Don't Cry,Lil Wayne Featuring XXXTENTACION,2018-10-13,5,1
Please Me,Cardi B & Bruno Mars,2019-03-02,5,1
ATM,J. Cole,2018-05-05,6,1
Diplomatic Immunity,Drake,2018-02-03,7,1
Pray For Me,The Weeknd & Kendrick Lamar,2018-02-17,7,1
Better Now,Post Malone,2018-05-12,7,1
Bad Guy,Billie Eilish,2019-04-13,7,1
Circles,Post Malone,2019-09-14,7,1
Stargazing,Travis Scott,2018-08-18,8,1
Boy With Luv,BTS Featuring Halsey,2019-04-27,8,1
Boyfriend,Ariana Grande & Social House,2019-08-17,8,1
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,2019-09-21,8,1
Say Something,Justin Timberlake Featuring Chris Stapleton,2018-02-10,9,1
Don't Matter To Me,Drake Featuring Michael Jackson,2018-07-14,9,1
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2018-11-03,9,1
Paranoid,Post Malone,2018-05-12,11,1
All Mine,Kanye West,2018-06-16,11,1
Bandit,Juice WRLD & YoungBoy Never Broke Again,2019-10-19,11,1
Blinding Lights,The Weeknd,2019-12-14,11,1
Apes**t,The Carters,2018-06-30,13,1
Rap Devil,Machine Gun Kelly,2018-09-22,13,1
Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey",2019-09-28,13,1
Bartier Cardi,Cardi B Featuring 21 Savage,2018-01-06,14,1
Photograph,J. Cole,2018-05-05,14,1
Rich & Sad,Post Malone,2018-05-12,14,1
Dedicate,Lil Wayne,2018-10-13,14,1
Spoil My Night,Post Malone Featuring Swae Lee,2018-05-12,15,1
Plug Walk,Rich The Kid,2018-04-14,13,1
Taste,Tyga Featuring Offset,2018-07-28,13,1
Suge,DaBaby,2019-06-01,14,1
A Lot,21 Savage,2019-02-23,15,1
Be Careful,Cardi B,2018-06-02,16,1
I Am Who They Say I Am,YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo,2018-09-08,69,1
Nights Like This,Kehlani Featuring Ty Dolla $ign,2019-01-26,69,1
Japan,Famous Dex,2018-04-07,70,1
Hurt Feelings,Mac Miller,2018-09-22,70,1
Monopoly,Ariana Grande & Victoria Monet,2019-04-13,70,1
New Magic Wand,"Tyler, The Creator",2019-06-01,70,1
It All Comes Out In The Wash,Miranda Lambert,2019-11-16,70,1
Kiss Somebody,Morgan Evans,2018-07-14,76,1
Mood Swings,A Boogie Wit da Hoodie,2019-09-28,76,1
Make It Right,BTS Featuring Lauv,2019-11-02,76,1
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,2019-07-27,25,1
Be Careful,Cardi B,2018-04-14,16,1
Ball For Me,Post Malone Featuring Nicki Minaj,2018-05-12,16,1
BAD!,XXXTENTACION,2018-11-24,16,1
Press,Cardi B,2019-06-15,16,1
Panini,Lil Nas X,2019-07-06,16,1
Sad!,XXXTENTACION,2018-03-17,17,1
Stay,Post Malone,2018-05-12,17,1
Survival,Drake,2018-07-14,17,1
Can't Be Broken,Lil Wayne,2018-10-13,17,1
Closed On Sunday,Kanye West,2019-11-09,17,1
Can't Take A Joke,Drake,2018-07-14,18,1
Barbie Dreams,Nicki Minaj,2018-08-25,18,1
Saint-Tropez,Post Malone,2019-09-21,18,1
BOP,DaBaby,2019-10-12,19,1
Selah,Kanye West,2019-11-09,19,1
1985 (Intro To The Fall Off),J. Cole,2018-05-05,20,1
Same Bitches,Post Malone Featuring G-Eazy & YG,2018-05-12,20,1
Talk Up,Drake Featuring JAY-Z,2018-07-14,20,1
Die For Me,Post Malone Featuring Future & Halsey,2019-09-21,20,1
8 Out Of 10,Drake,2018-07-14,21,1
44 More,Logic,2018-03-10,22,1
Breathin,Ariana Grande,2018-09-01,22,1
Bloodline,Ariana Grande,2019-02-23,22,1
Rodeo,Lil Nas X & Cardi B,2019-07-06,22,1
Over Now,Post Malone,2018-05-12,24,1
Carousel,Travis Scott,2018-08-18,24,1
STOOPID,6ix9ine Featuring Bobby Shmurda,2018-10-20,25,1
R.I.P Screw,Travis Scott,2018-08-18,26,1
Dark Side Of The Moon,Lil Wayne Featuring Nicki Minaj,2018-10-13,26,1
Beautiful People,Ed Sheeran Featuring Khalid,2019-07-13,26,1
Sandra's Rose,Drake,2018-07-14,27,1
Stop Trying To Be God,Travis Scott,2018-08-18,27,1
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2018-10-13,27,1
Bad Idea,Ariana Grande,2019-02-23,27,1
Robbery,Juice WRLD,2019-03-02,27,1
Cool,Jonas Brothers,2019-04-20,27,1
Ring,Cardi B Featuring Kehlani,2018-04-21,28,1
Summer Games,Drake,2018-07-14,28,1
Shallow,Lady Gaga & Bradley Cooper,2018-10-13,28,1
Close Friends,Lil Baby,2018-10-20,28,1
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,2018-11-10,28,1
Sanguine Paradise,Lil Uzi Vert,2019-04-27,28,1
Takin' Shots,Post Malone,2018-05-12,29,1
Cruel Summer,Taylor Swift,2019-09-07,29,1
A Thousand Bad Times,Post Malone,2019-09-21,29,1
Brackets,J. Cole,2018-05-05,30,1
Blue Tint,Drake,2018-07-14,30,1
BEBE,6ix9ine Featuring Anuel AA,2018-09-15,30,1
Don't Start Now,Dua Lipa,2019-11-16,30,1
Baby Shark,Pinkfong,2019-01-12,32,1
Bad Bad Bad,Young Thug Featuring Lil Baby,2019-08-31,32,1
Self Care,Mac Miller,2018-09-22,33,1
Dancing With A Stranger,Sam Smith & Normani,2019-01-26,33,1
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,2019-06-08,34,1
Staring At The Sun,Post Malone Featuring SZA,2019-09-21,34,1
Roxanne,Arizona Zervas,2019-11-16,34,1
Adore You,Harry Styles,2019-12-21,35,1
5% Tint,Travis Scott,2018-08-18,36,1
Rudolph The Red-Nosed Reindeer,Gene Autry,2018-12-15,36,1
That's How You Feel,Drake,2018-07-14,37,1
A Lot,21 Savage,2019-01-05,37,1
Antisocial,Ed Sheeran & Travis Scott,2019-07-27,37,1
Allergic,Post Malone,2019-09-21,37,1
Mixed Personalities,YNW Melly Featuring Kanye West,2019-02-02,71,1
Go Loko,"YG, Tyga & Jon Z",2019-05-18,71,1
Friends,Marshmello & Anne-Marie,2018-02-24,72,1
In My Blood,Shawn Mendes,2018-03-31,72,1
Hopeless Romantic,Wiz Khalifa Featuring Swae Lee,2018-07-28,72,1
Jet Lag,Future & Juice WRLD Featuring Young Scooter,2018-11-03,72,1
Dreamcatcher,Metro Boomin Featuring Swae Lee & Travis Scott,2018-11-17,72,1
Like It's Christmas,Jonas Brothers,2019-12-14,72,1
Me Niego,Reik Featuring Ozuna & Wisin,2018-05-26,77,1
Level Up,Ciara,2018-08-04,77,1
My Bad,Khalid,2019-03-23,77,1
False God,Taylor Swift,2019-09-07,77,1
Heat,Chris Brown Featuring Gunna,2019-09-14,77,1
Ocean,Martin Garrix Featuring Khalid,2018-06-30,78,1
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,2019-08-31,78,1
Let Me Know (I Wonder Why Freestyle),Juice WRLD,2019-12-28,78,1
God's Plan,Drake,2018-02-03,1,1
Nice For What,Drake,2018-04-21,1,1
HIGHEST IN THE ROOM,Travis Scott,2019-10-19,1,1
Ghost Town,Kanye West Featuring PARTYNEXTDOOR,2018-06-16,16,1
Kamikaze,Eminem,2018-09-15,16,1
Enemies,Post Malone Featuring DaBaby,2019-09-21,16,1
NASA,Ariana Grande,2019-02-23,17,1
Earth,Lil Dicky,2019-05-04,17,1
INTRO,DaBaby,2019-10-05,17,1
Lights Up,Harry Styles,2019-10-26,17,1
I'm Upset,Drake,2018-06-09,19,1
Lover,Taylor Swift,2019-08-31,19,1
MEGATRON,Nicki Minaj,2019-07-06,20,1
Drip,Cardi B Featuring Migos,2018-04-21,21,1
Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,2019-06-01,21,1
On The Road,Post Malone Featuring Meek Mill & Lil Baby,2019-09-21,22,1
Memories,Maroon 5,2019-10-05,22,1
I Do,Cardi B Featuring SZA,2018-04-21,23,1
Greatest,Eminem,2018-09-15,23,1
On God,Kanye West,2019-11-09,23,1
Esskeetit,Lil Pump,2018-04-28,24,1
Not Alike,Eminem Featuring Royce Da 5'9,2018-09-15,24,1
Imagine,Ariana Grande,2018-12-29,24,1
Ghostin,Ariana Grande,2019-02-23,25,1
Fine China,Future & Juice WRLD,2018-11-03,26,1
Middle Child,J. Cole,2019-02-02,26,1
Fake Smile,Ariana Grande,2019-02-23,26,1
Hot,Young Thug Featuring Gunna,2019-08-31,26,1
Lost In The Fire,Gesaffelstein & The Weeknd,2019-01-26,27,1
Look At Her Now.,Selena Gomez,2019-11-09,27,1
I Thought About Killing You,Kanye West,2018-06-16,28,1
Drip Too Hard,Lil Baby & Gunna,2018-09-29,28,1
I Forgot That You Existed,Taylor Swift,2019-09-07,28,1
How Do You Sleep?,Sam Smith,2019-08-03,29,1
On Me,Meek Mill Featuring Cardi B,2018-12-15,30,1
No Bystanders,Travis Scott,2018-08-18,31,1
Jaded,Drake,2018-07-14,32,1
Heartless,The Weeknd,2019-12-07,32,1
Motivation,Normani,2019-08-31,33,1
I'm Gonna Be,Post Malone,2019-09-21,33,1
Everything We Need,Kanye West Featuring Ty Dolla $ign & Ant Clemons,2019-11-09,33,1
Finesse,Bruno Mars & Cardi B,2018-01-13,35,1
Moonlight,XXXTENTACION,2018-03-31,35,1
I Was Never There,The Weeknd Featuring Gesaffelstein,2018-04-14,35,1
Omerta,Drake,2019-06-29,35,1
Narcos,Migos,2018-02-10,36,1
No Mistakes,Kanye West,2018-06-16,36,1
Is There More,Drake,2018-07-14,36,1
Famous,Lil Wayne Featuring Reginae Carter,2018-10-13,36,1
I'll Never Love Again,Lady Gaga,2018-10-20,36,1
God Is,Kanye West,2019-11-09,36,1
Natural,Imagine Dragons,2018-08-04,37,1
Get Up 10,Cardi B,2018-04-21,38,1
New Patek,Lil Uzi Vert,2018-09-29,38,1
Keanu Reeves,Logic,2019-02-02,38,1
In My Head,Ariana Grande,2019-02-23,38,1
Normal,Eminem,2018-09-15,39,1
Dope N****z,Lil Wayne Featuring Snoop Dogg,2018-10-13,39,1
I,Lil Skies,2019-03-16,39,1
Gold Roses,Rick Ross Featuring Drake,2019-08-10,39,1
Hittas,Lil Wayne,2018-10-13,59,1
KIKA,6ix9ine Featuring Tory Lanez,2018-12-08,59,1
God's Country,Blake Shelton,2019-04-13,59,1
Isis,Joyner Lucas Featuring Logic,2019-06-08,59,1
Jumpsuit,twenty one pilots,2018-07-21,60,1
I Might Need Security,Chance The Rapper,2018-08-04,60,1
Ganja Burns,Nicki Minaj,2018-08-25,60,1
Good Form,Nicki Minaj Featuring Lil Wayne,2018-12-15,60,1
How About Now,Drake,2019-08-17,60,1
Just How It Is,Young Thug,2019-08-31,60,1
Hands On,Kanye West Featuring Fred Hammond,2019-11-09,60,1
I'll Kill You,Summer Walker Featuring Jhene Aiko,2019-10-19,61,1
Famous,Mason Ramsey,2018-05-12,62,1
"Freeee (Ghost Town, Pt. 2)",KIDS SEE GHOSTS,2018-06-23,62,1
Everytime,Ariana Grande,2018-09-01,62,1
Ilomilo,Billie Eilish,2019-04-13,62,1
London Boy,Taylor Swift,2019-09-07,62,1
Falling,Harry Styles,2019-12-28,62,1
NBAYoungboat,Lil Yachty Featuring NBA YoungBoy,2018-03-24,63,1
Karma,Queen Naija,2018-07-14,63,1
Happier,Marshmello & Bastille,2018-09-01,63,1
Is That Alright?,Lady Gaga,2018-10-20,63,1
Nuketown,Ski Mask The Slump God Featuring Juice WRLD,2018-12-15,63,1
Listen Before I Go,Billie Eilish,2019-04-13,63,1
Higher Love,Kygo X Whitney Houston,2019-07-13,63,1
Jesus Is Lord,Kanye West,2019-11-09,63,1
Loyal,PARTYNEXTDOOR Featuring Drake,2019-12-07,63,1
Nico And The Niners,twenty one pilots,2018-07-28,79,1
No More,"Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage",2018-11-17,79,1
Let Me Down Slowly,Alec Benjamin Featuring Alessia Cara,2019-01-26,79,1
Drunk Dialing...LODT,Summer Walker,2019-10-19,79,1
Love Me More,Trippie Redd,2019-11-16,79,1
Nobody But You,Blake Shelton Duet With Gwen Stefani,2019-12-28,79,1
My My My!,Troye Sivan,2018-01-27,80,1
Gucci Flip Flops,Bhad Bhabie Featuring Lil Yachty,2018-05-19,80,1
Life Goes On,Lil Baby Featuring Gunna & Lil Uzi Vert,2018-06-02,80,1
Hope,XXXTENTACION,2018-06-30,80,1
Down To The Honkytonk,Jake Owen,2019-01-12,80,1
Jumpin On A Jet,Future,2019-01-26,80,1
Huncho Jack,Huncho Jack,2018-01-06,87,1
Emoji A Chain,Migos,2018-02-10,87,1
Ocean,TK Kravitz Featuring Jacqueez,2018-07-28,87,1
Lean Wit Me,Juice WRLD,2018-08-18,87,1
Goodnight N Go,Ariana Grande,2018-09-01,87,1
Girls Need Love,Summer Walker X Drake,2019-03-09,87,1
Call Out My Name,The Weeknd,2018-06-02,30,1
Bandit,Juice WRLD & YoungBoy Never Broke Again,2019-12-07,30,1
Sweet But Psycho,Ava Max,2019-02-16,30,1
Act Up,City Girls,2019-05-04,30,1
Sad!,XXXTENTACION,2018-05-05,31,1
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2019-01-19,31,1
Outside Today,YoungBoy Never Broke Again,2018-03-17,31,1
Say Something,Justin Timberlake Featuring Chris Stapleton,2018-03-31,32,1
Baby,Lil Baby & DaBaby,2019-09-21,32,1
All Girls Are The Same,Juice WRLD,2018-07-14,60,1
Rubbin Off The Paint,YBN Nahmir,2018-01-13,60,1
STOOPID,6ix9ine Featuring Bobby Shmurda,2018-12-08,61,1
223's,YNW Melly & 9lokknine,2019-11-09,61,1
KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",2018-01-27,64,1
Lost In Japan,Shawn Mendes X Zedd,2018-04-07,64,1
Head Above Water,Avril Lavigne,2018-10-06,64,1
Mac 10,Trippie Redd Featuring Lil Baby & Lil Duke,2019-08-24,64,1
Kinfolks,Sam Hunt,2019-10-26,64,1
Eye 2 Eye,Huncho Jack Featuring Takeoff,2018-01-06,65,1
Infrared,Pusha T,2018-06-09,65,1
Legends,Juice WRLD,2018-07-07,65,1
Nice Guy,Eminem & Jessie Reyez,2018-09-15,65,1
Never Stop,Future,2019-02-02,65,1
How Did I Get Here,Offset Featuring J. Cole,2019-03-09,65,1
Maze,Juice WRLD,2019-03-23,65,1
Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY,2019-04-13,65,1
Hot Now,YoungBoy Never Broke Again,2019-10-26,66,1
Fire,KIDS SEE GHOSTS,2018-06-23,67,1
Good Guy,Eminem Featuring Jessie Reyez,2018-09-15,67,1
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,2018-12-15,67,1
Floating,ScHoolboy Q Featuring 21 Savage,2019-05-11,67,1
Igor's Theme,"Tyler, The Creator",2019-06-01,67,1
Modern Slavery,Huncho Jack,2018-01-06,68,1
Dreams Money Can Buy,Drake,2019-08-17,68,1
No Idea,Don Toliver,2019-12-14,68,1
Follow God,Kanye West,2019-11-16,37,1
Esskeetit,Lil Pump,2018-05-05,37,1
Girls Need Love,Summer Walker X Drake,2019-03-16,37,1
Emotionless,Drake,2018-07-21,38,1
Hear Me Calling,Juice WRLD,2019-03-23,38,1
Hot,Young Thug Featuring Gunna,2019-09-07,39,1
Here Comes Santa Claus (Down Santa Claus Lane),Gene Autry,2018-12-22,40,1
NC-17,Travis Scott,2018-08-18,41,1
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,2018-12-15,41,1
Empty,Juice WRLD,2019-03-23,41,1
Kill This Love,BLACKPINK,2019-04-20,41,1
Finesse,Drake,2018-07-14,42,1
It's Beginning To Look A Lot Like Christmas,Perry Como & The Fontane Sisters,2018-12-29,42,1
Love Lies,Khalid & Normani,2018-03-03,43,1
Everyday,Logic & Marshmello,2018-03-17,43,1
Hurt You,The Weeknd Featuring Gesaffelstein,2018-04-14,43,1
My Strange Addiction,Billie Eilish,2019-04-13,43,1
Just Us,DJ Khaled Featuring SZA,2019-06-01,43,1
iPHONE,DaBaby & Nicki Minaj,2019-10-12,43,1
Lonely Child,YoungBoy Never Broke Again,2019-10-26,44,1
Medicine,Queen Naija,2018-04-14,45,1
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,2018-12-29,45,1
Graveyard,Halsey,2019-09-28,45,1
Every Hour,Kanye West Featuring Sunday Service Choir,2019-11-09,45,1
No Excuses,Meghan Trainor,2018-03-17,46,1
Friends,J. Cole Featuring kiLL edward,2018-05-05,46,1
Once An Addict (Interlude),J. Cole,2018-05-05,47,1
Feel The Love,KIDS SEE GHOSTS,2018-06-23,47,1
Falling Down,Lil Peep & XXXTENTACION,2018-09-29,47,1
No Stylist,French Montana Featuring Drake,2018-10-06,47,1
First Off,Future Featuring Travis Scott,2019-02-02,47,1
Fast,Juice WRLD,2019-03-23,47,1
OFF THE RIP,DaBaby,2019-10-12,47,1
Happy Holiday / The Holiday Season,Andy Williams,2019-12-14,47,1
Flip The Switch,Quavo Featuring Drake,2018-10-27,48,1
Guardian Angel,XXXTENTACION,2018-12-22,48,1
Make Up,Ariana Grande,2019-02-23,48,1
Easier,5 Seconds Of Summer,2019-06-08,48,1
Found / Tonight,Lin-Manuel Miranda & Ben Platt,2018-03-31,49,1
Jingle Bells,Frank Sinatra,2019-01-05,49,1
Legacy,Offset Featuring Travis Scott & 21 Savage,2019-03-09,49,1
Miss Americana & The Heartbreak Prince,Taylor Swift,2019-09-07,49,1
I Don't Let Go,XXXTENTACION,2018-12-22,51,1
I Think,"Tyler, The Creator",2019-06-01,51,1
I Think He Knows,Taylor Swift,2019-09-07,51,1
La Modelo,Ozuna x Cardi B,2018-01-06,52,1
Notice Me,Migos Featuring Post Malone,2018-02-10,52,1
Look What God Gave Her,Thomas Rhett,2019-03-16,52,1
Good As Hell,Lizzo,2019-09-07,52,1
Myself,Post Malone,2019-09-21,52,1
Intro,J. Cole,2018-05-05,53,1
Houstonfornication,Travis Scott,2018-08-18,53,1
I Love You,Billie Eilish,2019-04-13,53,1
I Know,Post Malone,2019-09-21,53,1
Feels Like Summer,Childish Gambino,2018-09-15,54,1
Off White VLONE,Lil Baby & Gunna Featuring Lil Durk & NAV,2018-10-20,54,1
Money,Cardi B,2018-11-03,54,1
Last Memory,TakeOff,2018-11-10,54,1
Mother's Daughter,Miley Cyrus,2019-06-15,54,1
Intro,Meek Mill,2018-12-15,55,1
Numb Numb Juice,ScHoolboy Q,2019-03-30,55,1
GOSPEL,"DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",2019-10-12,55,1
Immortal,21 Savage,2019-11-16,55,1
None Of Your Concern,Jhene Aiko Featuring Big Sean,2019-11-30,55,1
Dura,Daddy Yankee,2018-02-17,81,1
Must've Never Met You,Luke Combs,2018-06-16,81,1
My Blood,twenty one pilots,2018-10-20,81,1
Foot Fungus,Ski Mask The Slump God,2018-12-15,81,1
Love Ain't,Eli Young Band,2019-04-27,81,1
My Type,Saweetie,2019-07-13,81,1
For You (Fifty Shades Freed),Liam Payne & Rita Ora,2018-01-20,82,1
No Name,NF,2018-02-03,82,1
Numb,XXXTENTACION,2018-03-31,82,1
Let It Sing,Kevin Gates,2018-06-02,82,1
Mo Bamba,Sheck Wes,2018-09-08,82,1
Love Someone,Lukas Graham,2019-01-12,82,1
Last Time That I Checc'd,Nipsey Hussle Featuring YG,2019-04-13,82,1
Hate Me,Ellie Goulding & Juice WRLD,2019-08-03,82,1
Living,Dierks Bentley,2019-08-10,82,1
Light It Up,Young Thug,2019-08-31,82,1
homecoming queen?,Kelsea Ballerini,2019-09-21,82,1
My Oh My,Camila Cabello Featuring DaBaby,2019-12-21,82,1
Dubai Shit,Huncho Jack Featuring Offset,2018-01-06,83,1
Higher We Go (Intro),Migos,2018-02-10,83,1
Infinity (888),XXXTENTACION Featuring Joey Bada$$,2018-03-31,83,1
Drug Addicts,Lil Pump,2018-07-21,83,1
Love Wins,Carrie Underwood,2019-01-12,83,1
F&N,Future,2019-02-02,83,1
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019-03-16,83,1
Heaven,Avicii,2019-06-22,83,1
Juicy,Doja Cat & Tyga,2019-08-31,83,1
Nice To Meet Ya,Niall Horan,2019-10-19,83,1
Jerry Sprunger,Tory Lanez & T-Pain,2019-11-23,83,1
Famous Hoes,NLE Choppa,2019-12-28,83,1
Guatemala,Swae Lee Featuring Slim Jxmmi,2018-04-28,84,1
Lose It,Kane Brown,2018-06-23,84,1
Eyes On You,Chase Rice,2019-03-02,84,1
Lalala,Y2K & bbno$,2019-07-13,84,1
Night Falls,"Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair",2019-08-24,84,1
Lil Baby,Young Thug,2019-08-31,84,1
Heartache Medication,Jon Pardi,2019-10-12,84,1
Hate Me,Trippie Redd Featuring YoungBoy Never Broke Again,2019-12-07,84,1
Never Enough,Loren Allred,2018-01-13,88,1
Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone,2018-07-21,88,1
Made For Now,Janet & Daddy Yankee,2018-09-01,88,1
Gnarly,Kodak Black Featuring Lil Pump,2018-12-29,88,1
OKRA,"Tyler, The Creator",2018-04-14,89,1
Lovely,Billie Eilish & Khalid,2018-06-09,89,1
Negative Energy,Trippie Redd Featuring Kodie Shane,2018-11-24,89,1
Motorcycle Patches,Huncho Jack,2018-01-06,90,1
Hardaway,Derez De'Shon,2018-02-17,90,1
I Know You,Lil Skies Featuring Yung Pinch,2018-06-23,90,1
Nevermind,Dennis Lloyd,2018-08-04,90,1
Have It All,Jason Mraz,2018-08-25,90,1
Happy Now,Zedd & Elley Duhe,2018-09-08,90,1
Dope New Gospel,Lil Wayne Featuring Nivea,2018-10-13,90,1
Light It Up,"Marshmello, Tyga & Chris Brown",2019-05-11,90,1
Like A Rodeo,Kane Brown,2019-07-27,90,1
Mood 4 Eva,"Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare",2019-08-03,90,1
Good Vibes,Chris Janson,2019-09-14,90,1
For My Daughter,Kane Brown,2019-11-16,90,1
Rumor,Lee Brice,2019-05-11,61,1
Talk To Me,Tory Lanez & Rich The Kid,2018-12-29,61,1
Ball For Me,Post Malone Featuring Nicki Minaj,2018-06-30,62,1
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,2018-12-29,62,1
Calling My Spirit,Kodak Black,2019-02-02,62,1
Rearview Town,Jason Aldean,2019-07-27,62,1
Press,Cardi B,2019-08-03,63,1
Close Friends,Lil Baby,2018-12-08,63,1
Be Alright,Dean Lewis,2018-12-29,63,1
Cool,Jonas Brothers,2019-06-08,64,1
Shot Clock,Ella Mai,2019-03-30,65,1
Call You Mine,The Chainsmokers & Bebe Rexha,2019-08-03,66,1
Don't Call Me Up,Mabel,2019-05-25,66,1
Southbound,Carrie Underwood,2019-09-14,66,1
